date,OPC_KN_T_ist_Z3_K02,OPC_KN_T_ist_Z1_K02,OPC_KN_T_ist_Z2_K02,OPC_V_voronka_K02,OPC_V_shnek_K02,OT
2020-10-19 11:14:31,46.1,50.1,47.2,0.0,0.0,0.0
2020-10-19 11:15:05,46.0,50.0,47.1,0.0,0.0,0.0
2020-10-19 11:15:39,45.9,49.9,46.9,0.0,0.0,0.0
2020-10-19 11:16:12,45.8,49.8,46.9,0.0,0.0,0.0
2020-10-19 11:16:47,45.6,49.7,46.8,0.0,0.0,0.0
2020-10-19 11:17:20,45.5,49.5,46.7,0.0,0.0,0.0
2020-10-19 11:17:52,45.4,49.4,46.7,0.0,0.0,0.0
2020-10-19 11:18:23,45.3,49.3,46.5,0.0,0.0,0.0
2020-10-19 11:18:55,45.2,49.2,46.5,0.0,0.0,0.0
2020-10-19 11:19:26,45.0,49.1,46.4,0.0,0.0,0.0
2020-10-19 11:19:58,44.9,49.0,46.3,0.0,0.0,0.0
2020-10-19 11:20:29,44.7,48.8,46.2,0.0,0.0,0.0
2020-10-19 11:21:00,44.6,48.7,46.1,0.0,0.0,0.0
2020-10-19 11:21:32,44.5,48.6,46.0,0.0,0.0,0.0
2020-10-19 11:22:03,44.4,48.5,45.9,0.0,0.0,0.0
2020-10-19 11:22:35,44.3,48.4,45.9,0.0,0.0,0.0
2020-10-19 11:23:05,44.1,48.2,45.8,0.0,0.0,0.0
2020-10-19 11:23:36,44.0,48.1,45.7,0.0,0.0,0.0
2020-10-19 11:24:07,43.9,48.0,45.6,0.0,0.0,0.0
2020-10-19 11:24:37,43.8,47.8,45.5,0.0,0.0,0.0
2020-10-19 11:25:08,43.7,47.7,45.4,0.0,0.0,0.0
2020-10-19 11:25:38,43.5,47.6,45.3,0.0,0.0,0.0
2020-10-19 11:26:08,43.3,47.5,45.2,0.0,0.0,0.0
2020-10-19 11:26:39,43.2,47.3,45.1,0.0,0.0,0.0
2020-10-19 11:27:09,43.0,47.2,45.1,0.0,0.0,0.0
2020-10-19 11:27:40,42.9,47.1,45.0,0.0,0.0,0.0
2020-10-19 11:28:10,42.7,47.0,44.9,0.0,0.0,0.0
2020-10-19 11:28:40,42.6,46.9,44.8,0.0,0.0,0.0
2020-10-19 11:29:11,42.5,46.8,44.7,0.0,0.0,0.0
2020-10-19 11:29:41,42.3,46.7,44.6,0.0,0.0,0.0
2020-10-19 11:30:11,42.2,46.5,44.6,0.0,0.0,0.0
2020-10-19 11:30:41,42.1,46.4,44.4,0.0,0.0,0.0
2020-10-19 11:31:12,41.9,46.3,44.4,0.0,0.0,0.0
2020-10-19 11:31:42,41.8,46.1,44.3,0.0,0.0,0.0
2020-10-19 11:32:12,41.7,46.0,44.2,0.0,0.0,0.0
2020-10-19 11:32:42,41.6,45.9,44.2,0.0,0.0,0.0
2020-10-19 11:33:12,41.4,45.8,44.1,0.0,0.0,0.0
2020-10-19 11:33:43,41.3,45.7,44.0,0.0,0.0,0.0
2020-10-19 11:34:13,41.2,45.6,43.9,0.0,0.0,0.0
2020-10-19 11:34:43,41.1,45.5,43.8,0.0,0.0,0.0
2020-10-19 11:35:13,41.0,45.4,43.7,0.0,0.0,0.0
2020-10-19 11:35:43,40.9,45.3,43.7,0.0,0.0,0.0
2020-10-19 11:36:14,40.8,45.2,43.5,0.0,0.0,0.0
2020-10-19 11:36:44,40.7,45.1,43.5,0.0,0.0,0.0
2020-10-19 11:37:14,40.6,45.0,43.4,0.0,0.0,0.0
2020-10-19 11:37:44,40.5,44.8,43.3,0.0,0.0,0.0
2020-10-19 11:38:14,40.4,44.7,43.3,0.0,0.0,0.0
2020-10-19 11:38:44,40.3,44.6,43.2,0.0,0.0,0.0
2020-10-19 11:39:15,40.3,44.5,43.1,0.0,0.0,0.0
2020-10-19 11:39:45,40.1,44.4,43.0,0.0,0.0,0.0
2020-10-19 11:40:15,40.1,44.3,43.0,0.0,0.0,0.0
2020-10-19 11:40:45,40.0,44.2,42.9,0.0,0.0,0.0
2020-10-19 11:41:15,39.9,44.1,42.8,0.0,0.0,0.0
2020-10-19 11:41:45,39.8,44.0,42.7,0.0,0.0,0.0
2020-10-19 11:42:15,39.7,43.9,42.6,0.0,0.0,0.0
2020-10-19 11:42:46,39.6,43.8,42.6,0.0,0.0,0.0
2020-10-19 11:43:16,39.5,43.6,42.5,0.0,0.0,0.0
2020-10-19 11:43:46,39.5,43.5,42.4,0.0,0.0,0.0
2020-10-19 11:44:17,39.3,43.4,42.4,0.0,0.0,0.0
2020-10-19 11:44:47,39.3,43.3,42.3,0.0,0.0,0.0
2020-10-19 11:45:17,39.2,43.1,42.2,0.0,0.0,0.0
2020-10-19 11:45:47,39.1,43.1,42.1,0.0,0.0,0.0
2020-10-19 11:46:18,39.0,43.0,42.0,0.0,0.0,0.0
2020-10-19 11:46:48,39.0,42.9,42.0,0.0,0.0,0.0
2020-10-19 11:47:18,38.8,42.8,41.8,0.0,0.0,0.0
2020-10-19 11:47:48,38.8,42.7,41.8,0.0,0.0,0.0
2020-10-19 11:48:19,38.7,42.6,41.7,0.0,0.0,0.0
2020-10-19 11:48:49,38.6,42.5,41.6,0.0,0.0,0.0
2020-10-19 11:49:19,38.6,42.4,41.6,0.0,0.0,0.0
2020-10-19 11:49:49,38.4,42.3,41.5,0.0,0.0,0.0
2020-10-19 11:50:19,38.4,42.2,41.4,0.0,0.0,0.0
2020-10-19 11:50:50,38.3,42.1,41.3,0.0,0.0,0.0
2020-10-19 11:51:20,38.2,42.1,41.3,0.0,0.0,0.0
2020-10-19 11:51:50,38.2,42.0,41.2,0.0,0.0,0.0
2020-10-19 11:52:20,38.1,41.8,41.2,0.0,0.0,0.0
2020-10-19 11:52:50,38.0,41.8,41.0,0.0,0.0,0.0
2020-10-19 11:53:20,37.9,41.7,41.0,0.0,0.0,0.0
2020-10-19 11:53:51,37.9,41.6,40.9,0.0,0.0,0.0
2020-10-19 11:54:21,37.8,41.5,40.9,0.0,0.0,0.0
2020-10-19 11:54:51,37.7,41.4,40.8,0.0,0.0,0.0
2020-10-19 11:55:21,37.6,41.3,40.8,0.0,0.0,0.0
2020-10-19 11:55:51,37.6,41.2,40.7,0.0,0.0,0.0
2020-10-19 11:56:22,37.5,41.2,40.6,0.0,0.0,0.0
2020-10-19 11:56:52,37.4,41.0,40.5,0.0,0.0,0.0
2020-10-19 11:57:22,37.4,41.0,40.5,0.0,0.0,0.0
2020-10-19 11:57:52,37.3,40.9,40.4,0.0,0.0,0.0
2020-10-19 11:58:22,37.2,40.8,40.3,0.0,0.0,0.0
2020-10-19 11:58:52,37.1,40.7,40.3,0.0,0.0,0.0
2020-10-19 11:59:22,37.1,40.6,40.2,0.0,0.0,0.0
2020-10-19 11:59:52,37.0,40.5,40.1,0.0,0.0,0.0
2020-10-19 12:00:23,37.0,40.4,40.1,0.0,0.0,0.0
2020-10-19 12:00:53,36.9,40.4,40.0,0.0,0.0,0.0
2020-10-19 12:01:23,36.9,40.3,40.0,0.0,0.0,0.0
2020-10-19 12:01:53,36.7,40.2,39.9,0.0,0.0,0.0
2020-10-19 12:02:23,36.7,40.1,39.9,0.0,0.0,0.0
2020-10-19 12:02:53,36.6,40.0,39.7,0.0,0.0,0.0
2020-10-19 12:03:23,36.5,39.9,39.7,0.0,0.0,0.0
2020-10-19 12:03:54,36.5,39.9,39.6,0.0,0.0,0.0
2020-10-19 12:04:24,36.5,39.7,39.6,0.0,0.0,0.0
2020-10-19 12:04:54,36.3,39.7,39.5,0.0,0.0,0.0
2020-10-19 12:05:24,36.3,39.6,39.5,0.0,0.0,0.0
2020-10-19 12:05:54,36.3,39.5,39.4,0.0,0.0,0.0
2020-10-19 12:06:24,36.2,39.4,39.3,0.0,0.0,0.0
2020-10-19 12:06:54,36.1,39.3,39.3,0.0,0.0,0.0
2020-10-19 12:07:25,36.0,39.3,39.2,0.0,0.0,0.0
2020-10-19 12:07:55,36.1,39.2,39.2,0.0,0.0,0.0
2020-10-19 12:08:25,35.8,39.1,39.1,0.0,0.0,0.0
2020-10-19 12:08:55,35.8,39.0,39.0,0.0,0.0,0.0
2020-10-19 12:09:25,35.7,39.0,39.0,0.0,0.0,0.0
2020-10-19 12:09:56,35.7,38.8,38.9,0.0,0.0,0.0
2020-10-19 12:10:25,35.6,38.8,38.8,0.0,0.0,0.0
2020-10-19 12:10:56,35.6,38.7,38.8,0.0,0.0,0.0
2020-10-19 12:11:26,35.6,38.6,38.7,0.0,0.0,0.0
2020-10-19 12:11:56,35.4,38.6,38.7,0.0,0.0,0.0
2020-10-19 12:12:26,35.4,38.4,38.6,0.0,0.0,0.0
2020-10-19 12:12:56,35.4,38.4,38.6,0.0,0.0,0.0
2020-10-19 12:13:26,35.3,38.3,38.5,0.0,0.0,0.0
2020-10-19 12:13:56,35.3,38.3,38.4,0.0,0.0,0.0
2020-10-19 12:14:27,35.2,38.2,38.4,0.0,0.0,0.0
2020-10-19 12:14:57,35.2,38.1,38.3,0.0,0.0,0.0
2020-10-19 12:15:27,35.0,38.0,38.3,0.0,0.0,0.0
2020-10-19 12:15:57,35.0,38.0,38.2,0.0,0.0,0.0
2020-10-19 12:16:27,35.0,37.9,38.2,0.0,0.0,0.0
2020-10-19 12:16:57,34.9,37.8,38.1,0.0,0.0,0.0
2020-10-19 12:17:27,34.8,37.7,38.0,0.0,0.0,0.0
2020-10-19 12:17:58,34.8,37.6,38.0,0.0,0.0,0.0
2020-10-19 12:18:28,34.8,37.6,37.9,0.0,0.0,0.0
2020-10-19 12:18:58,34.7,37.5,37.9,0.0,0.0,0.0
2020-10-19 12:19:28,34.6,37.4,37.8,0.0,0.0,0.0
2020-10-19 12:19:58,34.6,37.4,37.8,0.0,0.0,0.0
2020-10-19 12:20:29,34.5,37.3,37.7,0.0,0.0,0.0
2020-10-19 12:20:58,34.4,37.3,37.6,0.0,0.0,0.0
2020-10-19 12:21:28,34.4,37.1,37.6,0.0,0.0,0.0
2020-10-19 12:21:59,34.4,37.1,37.5,0.0,0.0,0.0
2020-10-19 12:22:29,34.2,37.0,37.5,0.0,0.0,0.0
2020-10-19 12:22:59,34.2,36.9,37.4,0.0,0.0,0.0
2020-10-19 12:23:29,34.2,36.9,37.4,0.0,0.0,0.0
2020-10-19 12:23:59,34.1,36.8,37.4,0.0,0.0,0.0
2020-10-19 12:24:29,34.1,36.7,37.3,0.0,0.0,0.0
2020-10-19 12:25:00,34.0,36.6,37.3,0.0,0.0,0.0
2020-10-19 12:25:30,34.0,36.6,37.2,0.0,0.0,0.0
2020-10-19 12:26:00,33.9,36.5,37.1,0.0,0.0,0.0
2020-10-19 12:26:30,33.9,36.5,37.1,0.0,0.0,0.0
2020-10-19 12:27:00,33.8,36.3,37.0,0.0,0.0,0.0
2020-10-19 12:27:30,33.7,36.3,37.0,0.0,0.0,0.0
2020-10-19 12:28:00,33.7,36.2,37.0,0.0,0.0,0.0
2020-10-19 12:28:30,33.7,36.2,36.9,0.0,0.0,0.0
2020-10-19 12:29:01,33.6,36.2,36.9,0.0,0.0,0.0
2020-10-19 12:29:31,33.6,36.1,36.8,0.0,0.0,0.0
2020-10-19 12:30:01,33.5,35.9,36.8,0.0,0.0,0.0
2020-10-19 12:30:31,33.5,35.9,36.7,0.0,0.0,0.0
2020-10-19 12:31:01,33.5,35.8,36.7,0.0,0.0,0.0
2020-10-19 12:31:31,33.4,35.9,36.7,0.0,0.0,0.0
2020-10-19 12:32:01,33.3,35.7,36.6,0.0,0.0,0.0
2020-10-19 12:32:32,33.2,35.7,36.6,0.0,0.0,0.0
2020-10-19 12:33:02,33.2,35.7,36.6,0.0,0.0,0.0
2020-10-19 12:33:02,33.2,35.7,36.6,0.0,0.0,0.0
2020-10-19 12:33:32,33.2,35.7,36.5,0.0,0.0,0.0
2020-10-19 12:34:02,33.1,35.7,36.5,0.0,0.0,0.0
2020-10-19 12:34:32,33.1,35.4,36.4,0.0,0.0,0.0
2020-10-19 12:35:02,33.0,35.6,36.3,0.0,0.0,0.0
2020-10-19 12:35:32,33.0,35.3,36.3,0.0,0.0,0.0
2020-10-19 12:36:02,32.9,35.3,36.2,0.0,0.0,0.0
2020-10-19 12:36:33,32.9,35.3,36.3,0.0,0.0,0.0
2020-10-19 12:37:03,32.8,35.3,36.1,0.0,0.0,0.0
2020-10-19 12:37:33,32.8,35.2,36.1,0.0,0.0,0.0
2020-10-19 12:38:03,32.7,35.2,36.1,0.0,0.0,0.0
2020-10-19 12:38:33,32.7,35.0,36.0,0.0,0.0,0.0
2020-10-19 12:39:03,32.6,35.1,35.9,0.0,0.0,0.0
2020-10-19 12:39:33,32.6,35.0,35.9,0.0,0.0,0.0
2020-10-19 12:40:04,32.5,35.0,35.9,0.0,0.0,0.0
2020-10-19 12:40:34,32.5,34.9,35.9,0.0,0.0,0.0
2020-10-19 12:41:04,32.5,34.8,35.9,0.0,0.0,0.0
2020-10-19 12:41:34,32.4,34.8,35.9,0.0,0.0,0.0
2020-10-19 12:42:04,32.4,34.8,35.8,0.0,0.0,0.0
2020-10-19 12:42:35,32.3,34.6,35.6,0.0,0.0,0.0
2020-10-19 12:43:05,32.3,34.6,35.6,0.0,0.0,0.0
2020-10-19 12:43:35,32.3,34.6,35.8,0.0,0.0,0.0
2020-10-19 12:44:05,32.2,34.5,35.6,0.0,0.0,0.0
2020-10-19 12:44:35,32.2,34.5,35.7,0.0,0.0,0.0
2020-10-19 12:45:05,32.1,34.4,35.7,0.0,0.0,0.0
2020-10-19 12:45:35,32.1,34.4,35.7,0.0,0.0,0.0
2020-10-19 12:46:05,32.0,34.3,35.4,0.0,0.0,0.0
2020-10-19 12:46:35,31.9,34.2,35.4,0.0,0.0,0.0
2020-10-19 12:47:06,31.9,34.2,35.5,0.0,0.0,0.0
2020-10-19 12:47:36,31.9,34.1,35.5,0.0,0.0,0.0
2020-10-19 12:48:06,31.8,34.1,35.3,0.0,0.0,0.0
2020-10-19 12:48:36,31.8,34.1,35.4,0.0,0.0,0.0
2020-10-19 12:49:06,31.7,34.0,35.2,0.0,0.0,0.0
2020-10-19 12:49:36,31.7,34.0,35.3,0.0,0.0,0.0
2020-10-19 12:50:06,31.7,33.9,35.1,0.0,0.0,0.0
2020-10-19 12:50:37,31.6,33.9,35.1,0.0,0.0,0.0
2020-10-19 12:51:07,31.6,33.8,35.0,0.0,0.0,0.0
2020-10-19 12:51:37,31.5,33.8,35.0,0.0,0.0,0.0
2020-10-19 12:52:07,31.4,33.7,35.0,0.0,0.0,0.0
2020-10-19 12:52:37,31.4,33.7,34.9,0.0,0.0,0.0
2020-10-19 12:53:08,31.4,33.6,34.9,0.0,0.0,0.0
2020-10-19 12:53:37,31.3,33.6,34.8,0.0,0.0,0.0
2020-10-19 12:54:08,31.3,33.5,34.8,0.0,0.0,0.0
2020-10-19 12:54:38,31.2,33.5,34.8,0.0,0.0,0.0
2020-10-19 12:55:08,31.2,33.4,34.7,0.0,0.0,0.0
2020-10-19 12:55:38,31.2,33.3,34.6,0.0,0.0,0.0
2020-10-19 12:56:08,31.1,33.3,34.6,0.0,0.0,0.0
2020-10-19 12:56:08,31.1,33.3,34.6,0.0,0.0,0.0
2020-10-19 12:56:38,31.1,33.3,34.5,0.0,0.0,0.0
2020-10-19 12:57:08,31.0,33.2,34.5,0.0,0.0,0.0
2020-10-19 12:57:39,30.9,33.2,34.4,0.0,0.0,0.0
2020-10-19 12:58:09,30.9,33.1,34.4,0.0,0.0,0.0
2020-10-19 12:58:39,30.8,33.1,34.4,0.0,0.0,0.0
2020-10-19 12:59:09,30.8,33.0,34.4,0.0,0.0,0.0
2020-10-19 12:59:39,30.8,32.9,34.2,0.0,0.0,0.0
2020-10-19 13:00:09,30.7,32.9,34.2,0.0,0.0,0.0
2020-10-19 13:00:39,30.7,32.8,34.1,0.0,0.0,0.0
2020-10-19 13:01:10,30.6,32.8,34.1,0.0,0.0,0.0
2020-10-19 13:01:40,30.6,32.7,34.1,0.0,0.0,0.0
2020-10-19 13:02:10,30.5,32.7,34.1,0.0,0.0,0.0
2020-10-19 13:02:40,30.5,32.7,34.0,0.0,0.0,0.0
2020-10-19 13:03:10,30.4,32.6,34.0,0.0,0.0,0.0
2020-10-19 13:03:40,30.4,32.5,34.0,0.0,0.0,0.0
2020-10-19 13:04:11,30.3,32.5,33.9,0.0,0.0,0.0
2020-10-19 13:04:40,30.3,32.4,33.9,0.0,0.0,0.0
2020-10-19 13:05:11,30.3,32.4,33.9,0.0,0.0,0.0
2020-10-19 13:05:41,30.2,32.3,33.8,0.0,0.0,0.0
2020-10-19 13:06:11,30.2,32.3,33.8,0.0,0.0,0.0
2020-10-19 13:06:41,30.1,32.2,33.7,0.0,0.0,0.0
2020-10-19 13:07:11,30.1,32.2,33.7,0.0,0.0,0.0
2020-10-19 13:07:41,30.1,32.2,33.7,0.0,0.0,0.0
2020-10-19 13:08:11,30.0,32.1,33.6,0.0,0.0,0.0
2020-10-19 13:08:42,30.0,32.1,33.6,0.0,0.0,0.0
2020-10-19 13:09:12,29.9,32.0,33.5,0.0,0.0,0.0
2020-10-19 13:09:42,29.9,31.9,33.5,0.0,0.0,0.0
2020-10-19 13:10:12,29.9,31.9,33.5,0.0,0.0,0.0
2020-10-19 13:10:42,29.8,31.9,33.4,0.0,0.0,0.0
2020-10-19 13:11:12,29.8,31.8,33.3,0.0,0.0,0.0
2020-10-19 13:11:42,29.7,31.8,33.3,0.0,0.0,0.0
2020-10-19 13:12:13,29.7,31.7,33.3,0.0,0.0,0.0
2020-10-19 13:12:43,29.7,31.7,33.2,0.0,0.0,0.0
2020-10-19 13:13:13,29.6,31.7,33.2,0.0,0.0,0.0
2020-10-19 13:13:43,29.6,31.6,33.2,0.0,0.0,0.0
2020-10-19 13:14:13,29.6,31.6,33.1,0.0,0.0,0.0
2020-10-19 13:14:43,29.5,31.6,33.1,0.0,0.0,0.0
2020-10-19 13:15:13,29.5,31.5,33.1,0.0,0.0,0.0
2020-10-19 13:15:44,29.4,31.4,33.0,0.0,0.0,0.0
2020-10-19 13:16:14,29.4,31.4,33.0,0.0,0.0,0.0
2020-10-19 13:16:44,29.4,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:17:14,29.3,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:17:44,29.3,31.3,32.9,0.0,0.0,0.0
2020-10-19 13:18:14,29.3,31.2,32.8,0.0,0.0,0.0
2020-10-19 13:18:44,29.2,31.2,32.8,0.0,0.0,0.0
2020-10-19 13:19:15,29.2,31.1,32.8,0.0,0.0,0.0
2020-10-19 13:19:45,29.2,31.1,32.7,0.0,0.0,0.0
2020-10-19 13:20:15,29.1,31.1,32.7,0.0,0.0,0.0
2020-10-19 13:20:45,29.1,31.0,32.7,0.0,0.0,0.0
2020-10-19 13:20:45,29.1,31.0,32.7,0.0,0.0,0.0
2020-10-19 13:21:15,29.1,31.0,32.6,0.0,0.0,0.0
2020-10-19 13:21:45,29.0,30.9,32.5,0.0,0.0,0.0
2020-10-19 13:22:16,28.9,30.9,32.5,0.0,0.0,0.0
2020-10-19 13:22:45,28.9,30.8,32.5,0.0,0.0,0.0
2020-10-19 13:23:16,28.9,30.8,32.5,0.0,0.0,0.0
2020-10-19 13:23:46,28.9,30.8,32.4,0.0,0.0,0.0
2020-10-19 13:24:16,28.8,30.7,32.4,0.0,0.0,0.0
2020-10-19 13:24:46,28.8,30.7,32.4,0.0,0.0,0.0
2020-10-19 13:25:16,28.8,30.7,32.3,0.0,0.0,0.0
2020-10-19 13:25:46,28.8,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:26:16,28.7,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:26:47,28.7,30.6,32.3,0.0,0.0,0.0
2020-10-19 13:27:17,28.7,30.5,32.2,0.0,0.0,0.0
2020-10-19 13:27:47,28.6,30.5,32.2,0.0,0.0,0.0
2020-10-19 13:28:17,28.6,30.4,32.2,0.0,0.0,0.0
2020-10-19 13:28:47,28.6,30.4,32.1,0.0,0.0,0.0
2020-10-19 13:29:17,28.6,30.4,32.1,0.0,0.0,0.0
2020-10-19 13:29:47,28.5,30.3,32.1,0.0,0.0,0.0
2020-10-19 13:30:18,28.5,30.3,32.1,0.0,0.0,0.0
2020-10-19 13:30:48,28.4,30.3,32.0,0.0,0.0,0.0
2020-10-19 13:31:18,28.4,30.3,32.0,0.0,0.0,0.0
2020-10-19 13:31:48,28.4,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:32:18,28.4,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:32:48,28.3,30.2,31.9,0.0,0.0,0.0
2020-10-19 13:33:18,28.3,30.1,31.9,0.0,0.0,0.0
